Cus_ID,Cus_Name,Gender,Age,Sex,Email
C0001,Ahmed Kamal,Male,32.0,Male,AKamal@email.com
C0002,Lama Ashraf,Female,,Female,LAshraf@email.com
C0003,Wael Hani,Male,45.0,Male,Wael@hotmail.com
C0004,Dina Hani,Female,,Female,DinaHani@outlook.com
C0005,Mahmoud Reda,Male,22.0,Male,Mahmoud@hotmail.com
C0006,Hind Nabil,Female,28.0,Female,Hind@hotmail.com
C0007,Marwan Kamal,Male,47.0,Male,MKamal@email.com
C0008,Farah Mohamed,Female,43.0,Female,FMohamed@email.com
C0009,Asma Nabil,Female,34.0,Female,ANabil@email.com
C0010,Rania Ahmed,Female,23.0,Female,Rania_Ahmed@yahoo.com
C0011,Heba Ashraf,Female,51.0,Female,Heba.Ashraf@gmail.com
C0012,Wael Nabil,Male,36.0,Male,Wael@hotmail.com
C0013,Joud Hussein,Female,50.0,Female,Joud_Hussein@yahoo.com
C0014,Yasmin Mahmoud,Female,,Female,Yasmin@hotmail.com
C0015,Nisreen Mahmoud,Female,66.0,Female,NisreenMahmoud@outlook.com
C0016,Hassan Ayman,Male,64.0,Male,HassanAyman@outlook.com
C0017,Omar Omar,M,39.0,M,OOmar@email.com
C0018,Ghada Mohamed,Female,22.0,Female,GhadaMohamed@outlook.com
C0019,Fadi Omar,Male,69.0,Male,FadiOmar@outlook.com
C0020,Joud Nabil,Female,43.0,Female,Joud.Nabil@gmail.com
C0021,Dina Tarek,Female,22.0,Female,DTarek@email.com
C0022,Aya Ayman,Female,33.0,Female,Aya_Ayman@yahoo.com
C0023,Heba Khalid,Female,68.0,Female,HKhalid@email.com
C0024,Fatima Reda,Female,21.0,Female,FReda@email.com
C0025,Lama Elmasry,Female,22.0,Female,Lama_Elmasry@yahoo.com
C0026,Mohamed Ashraf,Male,60.0,Male,Mohamed@hotmail.com
C0027,Leila Nabil,Female,38.0,Female,Leila.Nabil@gmail.com
C0028,Hala Elsayed,Female,40.0,Female,Hala@hotmail.com
C0029,Batoul Nabil,Female,60.0,Female,Batoul.Nabil@gmail.com
C0030,Samar Ahmed,Female,56.0,Female,Samar@hotmail.com
C0031,Joud Mamdouh,F,20.0,F,Joud@hotmail.com
C0032,Omar Elmasry,Male,62.0,Male,Omar@hotmail.com
C0033,Ghada Ayman,Female,73.0,Female,Ghada_Ayman@yahoo.com
C0034,Rami Kamal,Male,33.0,Male,Rami_Kamal@yahoo.com
C0035,Asma Mamdouh,Female,73.0,Female,Asma_Mamdouh@yahoo.com
C0036,Amir Youssef,Male,47.0,Male,Amir_Youssef@yahoo.com
C0037,Aya Emad,Female,59.0,Female,AEmad@email.com
C0038,Rasha Khalid,Female,,Female,Rasha@hotmail.com
